minutes,image_processing-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1
11,1.9,1.1,2.5166666666666666
12,1.7833333333333334,0.9333333333333333,2.75
13,1.65,1.05,2.8
14,1.9166666666666667,1.1,2.533333333333333
15,1.45,1.0333333333333334,3.0
16,1.5833333333333333,1.15,2.8
17,2.6166666666666667,1.1666666666666667,1.85
18,1.5166666666666666,1.3666666666666667,2.683333333333333
19,1.55,1.3833333333333333,2.6333333333333333
20,1.6,0.7666666666666667,1.8666666666666667
