,image_processing-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1
0,114.0,66.0,151.0
1,107.0,56.0,165.0
2,99.0,63.0,168.0
3,115.0,66.0,152.0
4,87.0,62.0,180.0
5,95.0,69.0,168.0
6,157.0,70.0,111.0
7,91.0,82.0,161.0
8,93.0,83.0,158.0
9,96.0,46.0,112.0
