minutes,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,image_processing-0-0.0.1
1139,9.137147353156008,10.867537318050742,6.965762269955391,6.17221715727254
1140,10.106998727856649,7.0578113067379915,3.6186907381808964,7.6125614896880975
1141,11.362365352974548,8.826134203522516,5.1938929920649395,7.2819866235538555
1142,3.6596844880029766,8.406768968378548,6.425125368444723,4.6471945657120015
1143,8.566447054573006,9.948199557516679,5.966521892882315,9.109940307611398
1144,8.127714969265263,10.036792428034143,5.056960197110592,6.57571107545947
1145,7.599577245929238,6.646138308710035,4.528667524854878,5.635227211324528
1146,9.52310265217132,5.66649578838943,4.243072046452324,6.624562393348392
1147,4.629803701997348,5.926487443242848,3.708709207913664,6.666031264967474
1148,2.840840799660355,6.354072027148232,2.9559850722860888,4.578543813819655
1149,4.671225420630625,7.133079276043069,5.690601847475146,5.452653115628304
1150,5.833232889308521,4.329843645873213,3.3958735387900205,4.2531117282876325
1151,7.370796196201655,4.227958851623752,4.52150546932482,3.297292203604333
1152,0.0016978736574863084,4.587546120962538,4.863885872145155,1.39533898590773
