minutes,video_processing-0-0.0.1,pyaes-0-0.0.1,image_processing-0-0.0.1,dd-0-0.0.1
1290,14.895463816812354,12.524274939887926,9.016486145694108,6.491859161599796
1291,15.800629673730723,11.697188426306553,9.150404213203727,6.165538300582927
1292,19.750051823587413,11.809833835701067,7.9790621682198966,7.073914104438162
1293,14.74890825921626,6.460029162820005,7.549163557891988,6.252138807979967
1294,16.38447934681809,11.054573510740779,8.755400735572852,7.774291772178648
1295,15.610323990713942,12.511267838292175,9.15370246368139,6.91733319268801
1296,13.095653741739383,10.154445358212348,6.150771613018311,6.509455718443621
1297,13.489275018986493,6.353297899046914,8.527834875679913,6.607923620030305
1298,14.12997310137601,10.12302606472733,5.495249185084402,9.127603802577966
1299,12.910738685712948,9.787066954761649,4.392458028828579,5.799396771561832
1300,18.146778516362186,8.669325413153661,7.7306649020861675,8.090882420218955
1301,14.43707501787523,5.894856025649173,7.650624430119839,7.352468095451778
