minutes,cp,dd-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
1215,,,,,
1217,,5.439393218014297,8.029147952405197,26.502439686485094,69.40565561787274
1218,,5.906352923595696,19.21321621504827,20.8504119932713,39.8726266672697
1219,,5.809372346333476,12.306836943849962,25.359701519357053,30.785648765376962
1220,,8.017623627271014,21.23136595161083,24.600089125407845,31.51948263828346
1221,,4.835420976942509,13.737903593173561,20.837838993789138,29.43271599002665
1222,,5.076853889217079,13.675367048033348,28.274305948205853,55.45989912405793
1223,,5.813099522975311,15.552254281735353,27.071785592903026,25.825285225353404
1224,,4.418083222965936,15.25146388391793,17.73813066920584,46.516752074040916
1225,,5.897511534698126,16.082788800564327,26.7105898651485,38.62858920594127
1226,,6.247361139692393,18.5425787453464,25.62573776051774,35.03607424024332
1227,,7.353183295946746,13.952439980285561,24.853323108197227,34.521966897632865
1228,,8.743262665903199,16.00284289829723,23.28461476491751,46.11036416256038
1229,,,,,
