minutes,cp,dd-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
1215,,,,,
1217,,4.4794682851072,3.6415917065048857,9.768960229869451,8.51970591276935
1218,,4.864020588597125,8.714086381114184,7.685588494803004,4.894457809678915
1219,,4.784154801604786,5.58172244597969,9.347740001094797,3.7790101034256534
1220,,6.6027016839568855,9.629411068953534,9.067742259211816,3.8690899208459206
1221,,3.982082935210791,6.230777672328016,7.680954010832306,3.6129344534931245
1222,,4.18090861854865,6.202414443068073,10.422080895293488,6.807831815468845
1223,,4.7872242192568875,7.05367002146935,9.978824588873051,3.170113923349205
1224,,3.638395476299999,6.9172475984948045,6.5383826964453045,5.710039681348075
1225,,4.856739496832735,7.294292079405573,9.845685649915968,4.741749313222366
1226,,5.14484887729433,8.409921124450037,9.44580257534633,4.300759732150136
1227,,6.0555194391329445,6.328079893271217,9.161085843273717,4.237651858193124
1228,,7.200282504042396,7.25803289768534,8.582850420457955,5.660154618502748
1229,,,,,
