minutes,pyaes-0-0.0.1,dd-0-0.0.1,image_processing-0-0.0.1,cnn_image_classification-0-0.0.1
1225,31.588239102556063,9.646488216814538,24.386351914674584,28.72948506242312
1226,28.41358703476488,12.342866634934522,24.07207495611255,26.77964312790464
1227,31.511478494604397,12.095191695282962,25.21526953604816,31.67807705347929
1228,29.344655790574492,8.58397739569033,21.19068676880698,17.736587281253698
1229,31.820622674852345,10.868489336110507,26.644727647215184,38.35414637155362
1230,31.375152933879736,11.248605214652878,21.16974210045312,38.50825615326693
1231,28.4139808695413,14.567905355722637,20.924738549020148,46.06249057349215
1232,31.40362657126868,12.523000879538595,24.021721207878034,47.73325223868802
1233,34.83518204454772,8.74946944852351,22.66407785737063,51.66385345597996
1234,37.06550720360735,12.171524087103855,20.955575233706963,44.47106302982982
1235,35.51611011755177,11.387390425997147,23.776370180494023,39.54092919562024
1236,32.4400418901442,9.224263130253567,27.907839466631458,38.08248060724834
