minutes,cp,image_processing-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
1081,,10.666621183054776,19.258421863088742,28.6026580951563
1083,,16.210262915277642,30.31617735889205,47.753636367268165
1084,,17.125959699049382,26.614112365078732,54.0165822234064
1085,,13.262643814733371,27.017277939592685,48.11521713324457
1086,,19.780859649142094,23.906033940038185,40.7662243404286
1087,,16.657971053967994,22.956327979729235,37.36621537531022
1088,,15.319127222652861,30.58201449498551,60.05218662353462
1089,,13.540589636980721,32.518075339396034,36.408662186597304
1090,,13.232250170694465,22.1919111319082,44.413427441492495
1091,,12.789683179690027,24.469189068933613,45.984636365282384
1092,,15.105856703863376,28.53064851360798,50.6700922314559
1093,,12.17295084981015,29.563891437748453,43.35298594441363
1094,,,,
