minutes,cp,image_processing-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
1081,,,,
1083,,15.360715613394513,27.962195206230035,39.193042926839894
1084,,16.114184573146247,23.429927779864123,43.93847546271283
1085,,15.99875778709095,20.942025810414183,38.640939076805594
1086,,14.357474836758069,19.67692922263717,35.92366364544145
1087,,13.853149057618689,16.481765681848692,42.64347283742834
1088,,14.753571351345439,17.417033779877553,46.80457558275862
1089,,14.845424203973876,19.75345090891016,39.03218619394177
1090,,11.269103359295434,15.747141409114715,41.23935466114586
1091,,15.0421885319506,19.60146266563735,48.9755132405685
1092,,15.903089782578176,18.798882023264124,51.328673968069246
1093,,15.009843871781356,17.402103943662546,42.39224936666296
1094,,15.59489697598963,24.59752692190024,48.891264683337084
