minutes,cp,image_processing-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
1081,,,,
1083,,7.047038945364191,10.441046273775076,4.56429357113157
1084,,7.392708068934414,8.748703681399975,5.116931121019045
1085,,7.339753696420636,7.819724415070578,4.499997362796523
1086,,6.586781949370494,7.347339042021192,4.1835523548005815
1087,,6.355412298620156,6.154269251341143,4.9661193514859185
1088,,6.768499236160584,6.503497107662282,5.450707765424114
1089,,6.810638589951559,7.375912137281809,4.5455607222121674
1090,,5.169929074335617,5.879961530903483,4.802600341821929
1091,,6.9009082048060435,7.319159930619306,5.703528063489906
1092,,7.295864064544442,7.0194773926908125,5.977569464164506
1093,,6.886069437809507,6.497922326797221,4.936862687881814
1094,,7.154474381578322,9.184683638671105,5.693716752108285
