minutes,cp,image_processing-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
1081,,2.9701558119450633,6.480040358943288,11.496303376384606
1083,,4.788346089854348,10.82117864949148,20.36110680906536
1084,,4.912014234460429,9.224043429551605,22.363061642706914
1085,,3.6788301154276506,9.055780168221906,19.264668357283618
1086,,5.539246247537735,8.0894258102949,16.478036517495266
1087,,4.538492669423036,7.557821144116348,14.69494984537045
1088,,4.582005068396341,11.053308364448096,25.926854361031435
1089,,3.81611892280939,11.074236924778981,14.811140623893776
1090,,3.7444730422042602,7.588507430790145,18.14139815074034
1091,,3.5377531011168935,8.178844749557546,18.3603075043073
1092,,4.3138632572115645,9.845489454586694,20.886812539794892
1093,,3.3048937963722174,9.699020833193943,16.989481095827667
1094,,,,
