minute,perf_rapl,ipmi,x_rest
1083,99.63568965517241,246.24137931034483,146.6056896551724
1084,101.70616666666666,246.56666666666666,144.86049999999997
1085,103.91116666666667,247.68333333333334,143.77216666666666
1086,103.44566666666667,249.26666666666668,145.821
1087,107.68233333333333,253.46666666666667,145.78433333333334
1088,98.9735,245.38333333333333,146.40983333333332
1089,103.6428813559322,246.135593220339,142.49271186440677
1090,110.80783333333333,258.5833333333333,147.77550000000002
1091,108.077,253.91666666666666,145.83966666666666
1092,103.99933333333334,249.11666666666667,145.11733333333333
1093,106.11266666666667,250.76666666666668,144.654
1094,106.2975925925926,251.5185185185185,145.22092592592594
