minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1,cp
1081,1.3626190476650089,1.3388218845512652,2.4196383990832913,
1083,2.1967506090446416,2.371187893811068,4.040613627894074,
1084,2.253485871468226,2.604329004950168,3.44424547389618,
1085,1.6877377167370298,2.2435002583817267,3.3814161972688477,
1086,2.541241242714121,1.9189782299391127,3.020580773098285,
1087,2.0821252993437995,1.7113257889295808,2.8220803020877567,
1088,2.1020874923749444,3.0193566470614885,4.127290552845955,
1089,1.7507217336755427,1.7248569869135886,4.135105249268988,
1090,1.717852736969491,2.1126878845647874,2.8335385204704124,
1091,1.62301578325649,2.1381813517857777,3.053969685367418,
1092,1.979072013548432,2.432409863525306,3.6762925880869606,
1093,1.5161868678187718,1.978539392496207,3.6216014008486623,
1094,,,,
