minutes,dd-0-0.0.1,pyaes-0-0.0.1,cnn_image_classification-0-0.0.1
1070,2.6990423414853373,2.877562876244295,3.111049833505571
1071,1.9444109109604615,4.124902387085707,2.299112257653661
1072,2.60349738148372,2.651964049656124,2.0458311046349613
1073,3.0475987119653998,3.6638456838764535,1.9428027501096898
1074,3.3002148259825987,3.1173930952218334,1.5483021482321861
1075,2.42746042076726,1.9086314470302623,1.987871962270799
1076,3.4392447837846234,2.192844599327478,1.7381622260768823
1077,3.6377540064822957,1.6920029186323202,1.7649719127679735
1078,2.7347381231906036,1.5086398274319497,2.513553248669367
1079,3.315323956717895,1.5828330256497947,1.907101875247001
1080,1.9897923389030523,1.4830008020684111,1.9664207125034665
1081,9.52621270697142,5.469243161806184,9.180406064939369
