minutes,cnn_image_classification-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1
1070,11.42174996571692,2.5337976360099814,4.673777886638451
1071,8.440843687947318,1.8253673511888464,6.699724173000704
1072,7.510960158068818,2.444102268855594,4.307357115900839
1073,7.13270710275183,2.8610141801760043,5.95086942451357
1074,5.684357678245059,3.0981642621426912,5.06331348402142
1075,7.298171913669368,2.2788428996126933,3.1000259019589422
1076,6.381400301689678,3.228682325160359,3.561648880648552
1077,6.479828020444606,3.4150381267965573,2.748174815054881
1078,9.22813142451888,2.5673079985226934,2.4503539166992248
1079,7.001636728421149,3.112348359646768,2.570859547360589
1080,7.219416887421995,1.8679703711831213,2.408710652960895
1081,33.704475424405274,8.94298502326165,8.883221269403178
