minutes,cnn_image_classification-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1
1070,16.76960634598678,5.127178487360789,16.02560216539969
1071,21.62473064968255,3.751140489140257,15.574838518491351
1072,15.818631466354667,5.460470487204242,17.023042147970145
1073,20.388131477385958,4.302507331835821,21.843517686840478
1074,15.734726633937157,3.2764745429391384,10.801254310668103
1075,19.92317876831495,4.929141817438252,14.952828055720785
1076,17.93207369667567,4.475558487168717,15.082695841311603
1077,19.79584269033121,4.737593809335071,16.271473174936368
1078,19.109777944930205,3.255666584152449,14.552874627301833
1079,12.948956837987547,3.1651005302562085,15.02781085466099
1080,21.524893894280183,3.4872057904877716,17.13403789051083
1081,174.83811723032275,20.518162153355394,92.16182332593566
