minute,tegra,igpm
1361,11.42860373290695,11.669822720934244
1362,11.383775400989462,11.498040205649776
1363,11.395264349594397,12.105372818358246
1364,11.768177767209787,11.701173042370275
1365,11.745333873427576,12.028374749674482
1366,11.87478485393352,11.514969682962054
1367,11.458096291162237,11.928112441164929
1368,11.780450255126052,11.78092507697633
1369,11.634829508025703,12.082007676742629
1370,12.026393414235551,12.085211352139332
1371,11.224859320284136,12.112113493485865
1372,11.953469785747519,11.63415501294332
1373,12.005835649472367,11.8838606408781
1374,11.477390526577823,11.804663629715606
1375,10.842223467208752,11.743963218790972
1376,11.857721012131268,11.81132881301566
1377,11.767421946789659,11.608892294779725
1378,11.588779804982565,11.9031331273779
1379,11.855447008131595,11.619958302208056
1380,11.303094357207238,11.521622117041206
1381,12.077218544043554,11.61400408043484
1382,10.961687497569333,11.789883465480184
1383,11.734511430082112,11.96315284623509
1384,12.363668424653264,11.80506561890536
