minutes,image_processing-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1
1053,2.7674198631309084,2.2568862278634847,3.56289822440042
1054,2.195949885227665,1.9868377000120092,3.7188752233971605
1055,2.83195857757538,2.1629872575916975,2.1874972782420024
1056,3.07860412997583,1.8082382629922222,3.323283168787874
1057,2.9997020964578995,1.7001649062352682,2.582796224225855
1058,2.7849489449292886,2.2468752994923356,1.834098138635855
1059,2.996489208083082,1.9657713488393564,2.0013731870186553
1060,2.3298992914146734,1.9531710247128384,1.5582904197876584
1061,2.7081887654605055,2.3057618540933924,2.086538928494788
1062,2.319717263614828,2.0193505846981816,2.1480692783807593
1063,2.108774915622528,2.202400530804639,2.087535057830804
