minutes,image_processing-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1
1053,6.684994218262748,6.638030642448548,10.643998616425797
1054,5.807644134443729,6.447415604867961,11.383499960412847
1055,8.25573470044763,6.678211988685301,7.660245534641571
1056,8.566566173424851,6.280319920407063,11.425779512690498
1057,8.481783161539312,6.061652759142914,9.387317147865815
1058,8.045027174974118,8.057691335507391,7.189015362883714
1059,8.589003044836128,7.077865750827579,8.38457650183186
1060,7.4064273979545785,7.6387838702951685,6.720565232353582
1061,9.572580916963048,9.374196384487165,8.070069321965732
1062,8.632810685856235,7.81735575021525,9.5925104060914
1063,7.733996608595504,9.090006551457156,10.170238445362045
