minutes,cnn_image_classification-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1
1053,5.134018020349993,6.958744440964278,3.9964328655490986
1054,4.524360245830229,7.396011571148688,6.112453836642246
1055,5.15088191269745,5.621041696112167,6.51041203889445
1056,5.373014277868419,7.255667949261199,10.037595475726155
1057,5.902630803889851,5.993042534573043,8.306420297879178
1058,5.832228985160164,6.229939661789659,8.596180448864992
1059,4.266582591762083,5.709918472827832,6.774624409363783
1060,5.219472802902207,4.668712106985457,7.250438325344805
1061,5.7145463229802935,5.773167654662352,9.524752571033272
1062,6.203144675745238,6.236512703610467,7.355885103076874
1063,5.3603405910960635,4.305666398901373,7.743922314595078
1064,,,
