minutes,cnn_image_classification-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1
1053,21.541756797914754,10.841682754486877,17.146807233401255
1054,20.92317231062294,9.418801752226239,18.33809703445583
1055,21.672153422315642,13.389100065777198,12.340170106779665
1056,20.380912898076748,13.8932046483844,18.406206713810793
1057,19.671293575514362,13.755704078029115,15.122373026698833
1058,26.148843904423202,13.047375889124067,11.58104816314982
1059,22.969111000725515,13.929592629271463,13.50702139220059
1060,24.789404151505163,12.011698674831557,10.826404689759453
1061,30.421170007739917,15.5247532091866,13.000370256567876
1062,25.368906147712565,14.000639593659995,15.452926362073946
1063,29.498916315745166,12.542948418055646,16.383609621222195
