minutes,cnn_image_classification-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1
1053,7.324053903924901,4.488184615412862,5.739603249454021
1054,6.44769161758487,3.5613780989293398,5.990872310172821
1055,7.019332686123571,4.592853107941674,3.5239194879001894
1056,5.8681001929954855,4.992861356957896,5.353598579886644
1057,5.517380213984689,4.864898521365856,4.160721038765843
1058,7.291566409378914,4.516613173109488,2.9546158698101608
1059,6.37932703205874,4.8596878786415605,3.2240853721033584
1060,6.3384364227005054,3.7786164269841462,2.510307113392621
1061,7.482665231636713,4.392123983320137,3.3612819844485884
1062,6.5532025277378585,3.7621032765461524,3.4604034787778275
1063,7.147236757661537,3.419998266167638,3.3628866856816235
