minutes,cnn_image_classification-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1
1053,16.660930560226554,11.285649192093071,6.438000082135533
1054,14.68246733580577,11.994806350594889,9.846775768856956
1055,16.715657313865208,9.116171058533546,10.48786121304699
1056,17.436521926459637,11.767197922608062,16.169930203066066
1057,19.155235053023606,9.719479744123408,13.381116700593155
1058,18.926766861342227,10.103678056773457,13.847901940982766
1059,13.845926525589704,9.260310871663108,10.91349059805333
1060,16.938248674907545,7.57168875295187,11.679996663142996
1061,18.544862735772416,9.362888008088655,15.343772783784168
1062,20.130463564400372,10.114338175814172,11.849864739634933
1063,17.395393240424777,6.982903443059924,12.47496809647128
1064,,,
