minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1
1290,10.272037791919672,75.24732970010787,13.193488885243687,10.46003692897256
1291,11.071436015768587,76.47883145385346,16.016295172984382,10.466229143962932
1292,13.283196564419752,70.14250583748138,14.422227219620716,11.703302850215627
1293,13.937832897411088,71.12564196916078,16.691336809100203,9.43736459077428
1294,11.461043696976446,75.27007101987904,18.844561507446844,10.385751046512564
1295,10.511534888251939,85.73003740354748,18.37172818496457,10.24359111042961
1296,14.097495696583312,69.70881063140453,19.15275792037151,9.242961324906519
1297,14.083970267005135,67.86093857721399,22.82252842032117,9.174433615870019
1298,13.511643727641532,70.55290080161146,22.94233378417322,9.68754252253637
1299,13.636807319664182,70.65899270916766,23.406225738283904,10.270215642179815
1300,16.070314873345744,71.21418845782627,25.229992889849726,11.967070061079443
