,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1
0,59.0,219.0,84.0,100.0
1,94.0,365.0,69.0,82.0
2,76.0,264.0,66.0,102.0
3,80.0,177.0,58.0,118.0
4,99.0,315.0,59.0,122.0
5,57.0,283.0,73.0,107.0
6,58.0,201.0,49.0,105.0
7,65.0,215.0,80.0,108.0
8,77.0,271.0,83.0,97.0
9,66.0,212.0,79.0,102.0
10,97.0,294.0,69.0,121.0
