minutes,pyaes-0-0.0.1,cnn_image_classification-0-0.0.1,dd-0-0.0.1,image_processing-0-0.0.1
1133,32.438416170457145,11.756472496787552,11.773578529627404,19.749608723188086
1134,27.90740744221832,12.041464363278228,12.9667897280351,23.552376100332356
1135,24.099244215432343,13.625193436569372,18.900880345601294,26.43207410568083
1136,33.4646669628324,12.302085987328978,14.690916734438987,25.894433530092275
1137,33.79152149304861,20.570624208750495,13.66002158376858,28.96206679599583
1138,33.46765154561191,14.211549744783387,13.714239928889578,24.662943814226956
1139,27.947356914224788,27.956872224045423,18.277929542692917,24.859956713661656
1140,32.10290346601409,22.112071316591603,17.656532542023758,28.566386826997928
1141,39.89081259011199,25.645863180397956,12.952066584198322,26.80958664709188
1142,38.08423633429523,15.662389447349433,16.283526388968596,24.59182722116891
1143,41.92175113157762,20.836737014052368,12.715969146385092,28.668798657441656
1144,41.27978169986301,17.128943742203937,11.821987121522813,28.541793067672344
