,image_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1
0,55.509012,86.43955500000003,48.169965000000005
1,42.056916,190.689511,39.86612999999999
2,65.330766,199.13349000000002,36.068084999999996
3,57.775567999999986,114.770767,36.599582999999996
4,90.31031099999998,195.92729200000005,33.65977999999999
5,44.50046600000001,128.77627999999999,42.770663
6,50.14481099999999,84.747021,36.540607
7,63.64437999999999,101.44967199999998,53.81295300000001
8,51.056457,152.82572900000002,44.395759000000005
9,76.17798599999999,179.82380800000004,51.23190799999999
10,35.83339099999999,44.047532,41.46186700000001
