,image_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1
0,94.0,102.0,86.0
1,62.0,218.0,71.0
2,98.0,218.0,68.0
3,85.0,132.0,64.0
4,131.0,212.0,64.0
5,70.0,149.0,75.0
6,80.0,96.0,65.0
7,97.0,117.0,92.0
8,80.0,174.0,76.0
9,107.0,203.0,83.0
10,63.0,52.0,69.0
