minutes,image_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1
1306,1.5666666666666667,1.7,1.4333333333333333
1307,1.0333333333333334,3.6333333333333333,1.1833333333333333
1308,1.6333333333333333,3.6333333333333333,1.1333333333333333
1309,1.4166666666666667,2.2,1.0666666666666667
1310,2.183333333333333,3.533333333333333,1.0666666666666667
1311,1.1666666666666667,2.4833333333333334,1.25
1312,1.3333333333333333,1.6,1.0833333333333333
1313,1.6166666666666667,1.95,1.5333333333333334
1314,1.3333333333333333,2.9,1.2666666666666666
1315,1.7833333333333334,3.3833333333333333,1.3833333333333333
1316,1.05,0.8666666666666667,1.15
