timestamp,sensor,target,socket,cpu,INSTRUCTION_RETIRED,LLC_MISSES,UNHALTED_CORE_CYCLES,UNHALTED_REFERENCE_CYCLES,time_enabled,time_running
1680916194358,sensor,all,0,3,16268,16,43617,47034,166038,166038
1680916194358,sensor,all,0,11,26109,575,80011,55692,141709,141709
1680916194358,sensor,all,0,10,59910,1499,150884,107718,123055,123055
1680916194358,sensor,all,0,4,19345,8,47990,38610,128486,128486
1680916194358,sensor,all,0,5,242964,755,413444,352638,121844,121844
1680916194358,sensor,all,0,6,15839,2,45693,28314,114190,114190
1680916194358,sensor,all,0,7,131621,2081,450342,329316,113221,113221
1680916194358,sensor,all,0,8,30266,9,395898,287586,106197,106197
1680916194358,sensor,all,0,9,3503,0,15477,8892,103872,103872
1680916194358,sensor,all,0,0,16898,23,48899,33306,96751,96751
1680916194358,sensor,all,0,1,3266,6,17907,10530,93593,93593
1680916194358,sensor,all,0,2,25866,8,301860,218400,86980,86980
1680916195358,sensor,all,0,3,1707998628,1414697,676007506,570557364,965349811,965349811
1680916195358,sensor,all,0,11,989160862,1018732,406313574,346117824,965332856,965332856
1680916195358,sensor,all,0,10,283971548,424794,126529334,121688268,965318197,965318197
1680916195358,sensor,all,0,4,80498396,229312,47656358,58627764,965321369,965321369
1680916195358,sensor,all,0,5,1321257148,1009393,522143441,458730558,965317870,965317870
1680916195358,sensor,all,0,6,203380568,285394,94425588,90508080,965312844,965312844
1680916195358,sensor,all,0,7,1699742860,1262385,667005477,561468258,965312959,965312959
1680916195358,sensor,all,0,8,206110738,36207,1638127864,1400336106,965304912,965304912
1680916195358,sensor,all,0,9,12520283,55777,19064443,23194860,965302982,965302982
1680916195358,sensor,all,0,0,62105801,82244,33603085,51335388,965303740,965303740
1680916195358,sensor,all,0,1,1375711413,1153251,545337525,488373444,965308070,965308070
1680916195358,sensor,all,0,2,121811810,218302,61189616,70789680,965304869,965304869
1680916196358,sensor,all,0,3,1224512728,1032794,488286101,436365228,1965445826,1965445826
1680916196358,sensor,all,0,11,1063800102,871006,425546871,353100462,1965432249,1965432249
1680916196358,sensor,all,0,10,618538216,610026,315141524,272549394,1965422602,1965422602
1680916196358,sensor,all,0,4,7119947,32667,9626352,25630566,1965426738,1965426738
1680916196358,sensor,all,0,5,31557368,114082,29225644,60184254,1965421802,1965421802
1680916196358,sensor,all,0,6,670688209,668684,277953227,255561852,1965414525,1965414525
1680916196358,sensor,all,0,7,1754536265,1379196,693341133,554179548,1965414760,1965414760
1680916196358,sensor,all,0,8,218555331,61583,1804928419,1503345480,1965406869,1965406869
1680916196358,sensor,all,0,9,117430137,142057,59227805,49770474,1965407713,1965407713
1680916196358,sensor,all,0,0,7641965,36092,14121937,27435408,1965404327,1965404327
1680916196358,sensor,all,0,1,2412290182,1914544,944967601,807052350,1965416102,1965416102
1680916196358,sensor,all,0,2,182970608,245640,83411768,86084154,1965418284,1965418284
1680916197358,sensor,all,0,3,860077033,827001,346531321,323242452,2965551924,2965551924
1680916197358,sensor,all,0,11,1957466756,1939365,781392671,721395636,2965548069,2965548069
1680916197358,sensor,all,0,10,740554149,828083,331988138,328934814,2965596400,2965596400
1680916197358,sensor,all,0,4,7028310,33701,9493048,26189202,2965542365,2965542365
1680916197358,sensor,all,0,5,28447600,115681,28315852,60776820,2965600848,2965600848
1680916197358,sensor,all,0,6,178071042,370458,84861107,84269874,2965593706,2965593706
1680916197358,sensor,all,0,7,1488800507,1426830,592460908,507589446,2965593880,2965593880
1680916197358,sensor,all,0,8,219402552,184008,1731710318,1480687650,2965587449,2965587449
1680916197358,sensor,all,0,9,15883574,266285,34393998,33037290,2965586797,2965586797
1680916197358,sensor,all,0,0,227481423,334995,104972085,100850022,2965591600,2965591600
1680916197358,sensor,all,0,1,1983829294,1922720,790711616,700855506,2965603408,2965603408
1680916197358,sensor,all,0,2,22340808,397199,29710790,50670906,2965598605,2965598605
1680916198358,sensor,all,0,3,1060403514,956761,499628701,442998816,3965668367,3965668367
1680916198358,sensor,all,0,11,1047238820,844183,423040714,333216078,3965655278,3965655278
1680916198358,sensor,all,0,10,871292719,752488,723585461,582277098,3965660825,3965660825
1680916198358,sensor,all,0,4,11080100,76297,13390030,29392584,3965662036,3965662036
1680916198358,sensor,all,0,5,31813827,113825,31626477,63880518,3965661893,3965661893
1680916198358,sensor,all,0,6,229008881,277983,104508344,103908012,3965658192,3965658192
1680916198358,sensor,all,0,7,2255211773,2301488,921136455,765014718,3965656622,3965656622
1680916198358,sensor,all,0,8,403875401,431151,1233452401,999850020,3965650149,3965650149
1680916198358,sensor,all,0,9,678629717,788801,627621001,514026630,3965647696,3965647696
1680916198358,sensor,all,0,0,291600353,381548,131457960,126911226,3965642424,3965642424
1680916198358,sensor,all,0,1,1475829812,1385228,586921019,482274780,3965665560,3965665560
1680916198358,sensor,all,0,2,197808435,368165,89030083,90746448,3965665008,3965665008
1680916199358,sensor,all,0,3,1209513660,929856,936337991,837989724,4965753323,4965753323
1680916199358,sensor,all,0,11,1441695704,1072221,571202440,458430024,4965736589,4965736589
1680916199358,sensor,all,0,10,718775064,629873,292603702,259911912,4965720699,4965720699
1680916199358,sensor,all,0,4,25880283,120606,25960914,51033528,4965726302,4965726302
1680916199358,sensor,all,0,5,15277505,53341,16445957,40361724,4965721681,4965721681
1680916199358,sensor,all,0,6,450950040,475973,187138273,179666448,4965716707,4965716707
1680916199358,sensor,all,0,7,1424210883,1121122,561846957,483910518,4965715474,4965715474
1680916199358,sensor,all,0,8,98582278,48764,825067214,638296074,4965707566,4965707566
1680916199358,sensor,all,0,9,704304695,473781,827978186,763552920,4965706660,4965706660
1680916199358,sensor,all,0,0,280766665,279367,120714773,129675702,4965708770,4965708770
1680916199358,sensor,all,0,1,1805638557,1368371,709867865,611629590,4965715304,4965715304
1680916199358,sensor,all,0,2,25268803,78685,17813654,29504514,4965713035,4965713035
1680916200358,sensor,all,0,3,1316905758,1248538,529107418,430395420,5965854975,5965854975
1680916200358,sensor,all,0,11,2170453896,1676494,856640163,649303512,5965835503,5965835503
1680916200358,sensor,all,0,10,556803037,692086,234661488,199392258,5965819014,5965819014
1680916200358,sensor,all,0,4,31413395,125850,29740788,59956884,5965823528,5965823528
1680916200358,sensor,all,0,5,11803997,48504,13343209,32749158,5965818986,5965818986
1680916200358,sensor,all,0,6,412812077,741030,180195261,154268790,5965811146,5965811146
1680916200358,sensor,all,0,7,1368346422,1069896,540887507,421049382,5965810335,5965810335
1680916200358,sensor,all,0,8,186179308,71305,1509459046,1160488290,5965802583,5965802583
1680916200358,sensor,all,0,9,86389849,19941,770786322,600791178,5965803023,5965803023
1680916200358,sensor,all,0,0,229759046,243151,103666464,97366308,5965797233,5965797233
1680916200358,sensor,all,0,1,2428147306,2006247,959760205,737882340,5965795044,5965795044
1680916200358,sensor,all,0,2,116645682,172322,56808097,62850138,5965788015,5965788015
1680916201358,sensor,all,0,3,1393011010,1253087,564961796,457519998,6965948753,6965948753
1680916201358,sensor,all,0,11,1003140529,896806,401670041,314445690,6965931655,6965931655
1680916201358,sensor,all,0,10,447825343,488976,189835616,167269362,6965929610,6965929610
1680916201358,sensor,all,0,4,31831322,130954,29960044,57179616,6965932427,6965932427
1680916201358,sensor,all,0,5,10400784,40841,12697100,31761366,6965931027,6965931027
1680916201358,sensor,all,0,6,281320026,349448,123852757,109402020,6965923389,6965923389
1680916201358,sensor,all,0,7,2678229306,2020159,1050690528,818921844,6965924232,6965924232
1680916201358,sensor,all,0,8,10554022,29315,50181264,40777386,6965917119,6965917119
1680916201358,sensor,all,0,9,224562920,28077,2077158225,1621727016,6965917793,6965917793
1680916201358,sensor,all,0,0,202671292,213156,92555906,88243740,6965912958,6965912958
1680916201358,sensor,all,0,1,2413008846,1891710,951593320,737938890,6965923751,6965923751
1680916201358,sensor,all,0,2,156828086,214808,70231480,69809922,6965925116,6965925116
1680916202358,sensor,all,0,3,1862730272,1636866,736773850,622541244,7966031369,7966031369
1680916202358,sensor,all,0,11,1828139164,1437175,724017189,558706356,7966012355,7966012355
1680916202358,sensor,all,0,10,287826895,381902,132378284,124023354,7965995440,7965995440
1680916202358,sensor,all,0,4,240251458,321710,110267636,129505038,7966001229,7966001229
1680916202358,sensor,all,0,5,792613639,792963,321285257,294662238,7965994742,7965994742
1680916202358,sensor,all,0,6,134282474,341040,75402774,83790876,7965987113,7965987113
1680916202358,sensor,all,0,7,1371722591,1037795,545244382,423822828,7965985742,7965985742
1680916202358,sensor,all,0,8,148051900,68517,1250781729,1022728044,7965977816,7965977816
1680916202358,sensor,all,0,9,87680664,44861,781828618,606311394,7965976563,7965976563
1680916202358,sensor,all,0,0,123654392,232504,77569354,86454810,7965974037,7965974037
1680916202358,sensor,all,0,1,1425104729,1120840,563220532,452209056,7965971895,7965971895
1680916202358,sensor,all,0,2,285077867,382840,126875450,126267102,7965964708,7965964708
1680916203359,sensor,all,0,3,1427910082,1190946,568068249,510508362,8966163247,8966163247
1680916203359,sensor,all,0,11,1610800794,1402658,652967849,526804434,8966146512,8966146512
1680916203359,sensor,all,0,10,338554309,438383,148693501,159268356,8966144079,8966144079
1680916203359,sensor,all,0,4,389053434,527596,165493591,147475536,8966139377,8966139377
1680916203359,sensor,all,0,5,2063873745,1793424,810671821,668726370,8966149396,8966149396
1680916203359,sensor,all,0,6,38434723,192833,51762614,82089540,8966149976,8966149976
1680916203359,sensor,all,0,7,17994782,162581,18581155,31563948,8966152518,8966152518
1680916203359,sensor,all,0,8,216157976,204761,1422560380,1136636514,8966146102,8966146102
1680916203359,sensor,all,0,9,508265793,581236,213774499,210186522,8966150647,8966150647
1680916203359,sensor,all,0,0,176180172,162953,444411795,432097224,8966148721,8966148721
1680916203359,sensor,all,0,1,1481647292,1330101,590479326,473403840,8966156030,8966156030
1680916203359,sensor,all,0,2,74906506,420480,47995518,57418374,8966158036,8966158036
1680916204359,sensor,all,0,3,1588901475,1361298,627253331,547896492,9966248786,9966248786
1680916204359,sensor,all,0,11,1607759934,1479579,641784448,547683630,9966230886,9966230886
1680916204359,sensor,all,0,10,316739218,441981,137619361,127737558,9966227843,9966227843
1680916204359,sensor,all,0,4,94926101,117687,44303536,53449656,9966230003,9966230003
1680916204359,sensor,all,0,5,1049544342,1204191,423734254,383163456,9966231588,9966231588
1680916204359,sensor,all,0,6,161566993,152442,684677051,680141514,9966224229,9966224229
1680916204359,sensor,all,0,7,64587503,110771,36677170,43017936,9966224673,9966224673
1680916204359,sensor,all,0,8,251299527,224335,1150095023,963687192,9966217138,9966217138
1680916204359,sensor,all,0,9,8420175,46071,14723174,21615282,9966217145,9966217145
1680916204359,sensor,all,0,0,87606039,137747,48662080,62489778,9966212944,9966212944
1680916204359,sensor,all,0,1,2766303285,2194731,1086988848,960900642,9966218418,9966218418
1680916204359,sensor,all,0,2,64447924,155723,37177977,48990708,9966218498,9966218498
1680916205359,sensor,all,0,3,1859245127,1421207,729396833,656395194,10966386093,10966386093
1680916205359,sensor,all,0,11,1368783616,1043820,541926738,462344298,10966369021,10966369021
1680916205359,sensor,all,0,10,339290497,469817,154987270,154289928,10966359253,10966359253
1680916205359,sensor,all,0,4,113961889,116340,51666795,59060742,10966361650,10966361650
1680916205359,sensor,all,0,5,1627531266,1266573,637794680,588883308,10966360895,10966360895
1680916205359,sensor,all,0,6,83662729,163176,56288217,87758658,10966356840,10966356840
1680916205359,sensor,all,0,7,452355584,471137,187805088,210032628,10966360912,10966360912
1680916205359,sensor,all,0,8,393505007,368227,580723132,469481688,10966354209,10966354209
1680916205359,sensor,all,0,9,932870977,746151,370348655,345512466,10966358566,10966358566
1680916205359,sensor,all,0,0,9208554,25244,14739611,30660552,10966359070,10966359070
1680916205359,sensor,all,0,1,542063185,308729,1269811652,1190881926,10966361810,10966361810
1680916205359,sensor,all,0,2,171732198,225690,77741210,74722830,10966357640,10966357640
1680916206359,sensor,all,0,3,2026752285,1528378,795448523,776550138,11966502088,11966502088
1680916206359,sensor,all,0,11,1302716694,1053694,519674193,460994820,11966496304,11966496304
1680916206359,sensor,all,0,10,299872358,371953,130853970,158033226,11966487218,11966487218
1680916206359,sensor,all,0,4,120723554,131309,55358938,61574292,11966489910,11966489910
1680916206359,sensor,all,0,5,1854443959,1395091,724867207,682624878,11966491084,11966491084
1680916206359,sensor,all,0,6,129290923,256351,67205275,94142958,11966487926,11966487926
1680916206359,sensor,all,0,7,537819396,476622,217230902,241735806,11966491775,11966491775
1680916206359,sensor,all,0,8,191286056,267276,89998432,120631836,11966490783,11966490783
1680916206359,sensor,all,0,9,715288517,568986,287241486,285259494,11966493768,11966493768
1680916206359,sensor,all,0,0,10077413,97773,19698825,35232444,11966493130,11966493130
1680916206359,sensor,all,0,1,199269406,23833,1418885212,1394079336,11966494907,11966494907
1680916206359,sensor,all,0,2,61358163,85992,32987185,41469168,11966490727,11966490727
1680916207359,sensor,all,0,3,2381701888,2039455,933422193,953259528,12966634028,12966634028
1680916207359,sensor,all,0,11,752918199,697978,306177843,317636280,12966618507,12966618507
1680916207359,sensor,all,0,10,939535250,850226,381653550,380399760,12966600519,12966600519
1680916207359,sensor,all,0,4,281515462,436773,121593767,138980400,12966608169,12966608169
1680916207359,sensor,all,0,5,1314349566,1041311,514896237,537136314,12966601115,12966601115
1680916207359,sensor,all,0,6,125148383,361334,63750158,79251276,12966595161,12966595161
1680916207359,sensor,all,0,7,902689025,871354,361669614,380778606,12966615061,12966615061
1680916207359,sensor,all,0,8,31208449,183030,31622878,66726894,12966613489,12966613489
1680916207359,sensor,all,0,9,8582031,66360,11053380,25897638,12966612008,12966612008
1680916207359,sensor,all,0,0,9999064,31173,15453423,31047198,12966606275,12966606275
1680916207359,sensor,all,0,1,194110731,30175,1287150985,1346238504,12966604494,12966604494
1680916207359,sensor,all,0,2,138970125,219235,67259798,72000318,12966597344,12966597344
1680916208359,sensor,all,0,3,2134508603,1661719,838830779,806825760,13966788100,13966788100
1680916208359,sensor,all,0,11,1059339274,1046121,426452403,361719306,13966783145,13966783145
1680916208359,sensor,all,0,10,342699071,414019,148710447,153232248,13966781477,13966781477
1680916208359,sensor,all,0,4,8448605,82808,14524950,27328236,13966785105,13966785105
1680916208359,sensor,all,0,5,2096195760,1767000,825339892,782101398,13966794370,13966794370
1680916208359,sensor,all,0,6,19705422,200192,25346507,49550124,13966791883,13966791883
1680916208359,sensor,all,0,7,516677285,1167165,246283047,252528432,13966799808,13966799808
1680916208359,sensor,all,0,8,786782691,820158,320848527,336576006,13966802891,13966802891
1680916208359,sensor,all,0,9,335006052,358943,139804808,129335388,13966810899,13966810899
1680916208359,sensor,all,0,0,10150580,37259,16153051,31651308,13966815222,13966815222
1680916208359,sensor,all,0,1,199565855,27804,1429422012,1365810342,13966824629,13966824629
1680916208359,sensor,all,0,2,65567845,204955,41350678,50631516,13966826278,13966826278
1680916209359,sensor,all,0,3,1478742044,1154252,582379636,579974148,14966877683,14966877683
1680916209359,sensor,all,0,11,823251370,640928,330876581,304621824,14966858851,14966858851
1680916209359,sensor,all,0,10,130918567,187161,68531311,85741812,14966851190,14966851190
1680916209359,sensor,all,0,4,280070019,281931,119384426,120844776,14966852980,14966852980
1680916209359,sensor,all,0,5,1624938062,1239593,636504701,603438108,14966858700,14966858700
1680916209359,sensor,all,0,6,354339333,474879,153473215,182865150,14966860675,14966860675
1680916209359,sensor,all,0,7,552035954,471041,222985020,216918468,14966874708,14966874708
1680916209359,sensor,all,0,8,614773790,586027,250201568,272734956,14966872513,14966872513
1680916209359,sensor,all,0,9,1259650523,1008611,497824352,466484928,14966872702,14966872702
1680916209359,sensor,all,0,0,12375895,35850,18023087,36482238,14966868310,14966868310
1680916209359,sensor,all,0,1,198410730,27444,1397909030,1377161526,14966869084,14966869084
1680916209359,sensor,all,0,2,152718206,305294,79592259,88771098,14966863813,14966863813
1680916210359,sensor,all,0,3,1096693354,823539,432905789,436263126,15967073325,15967073325
1680916210359,sensor,all,0,11,1721794374,1315441,686285743,662195196,15967092403,15967092403
1680916210359,sensor,all,0,10,661089243,549725,268339618,240832956,15967108799,15967108799
1680916210359,sensor,all,0,4,173926329,214867,79868882,112028280,15967097695,15967097695
1680916210359,sensor,all,0,5,1042352499,804548,412740194,382238064,15967127760,15967127760
1680916210359,sensor,all,0,6,30169501,179737,32206844,60480810,15967142410,15967142410
1680916210359,sensor,all,0,7,8393225,10093,10368297,29218332,15967157726,15967157726
1680916210359,sensor,all,0,8,262805334,283448,113136642,122833620,15967169986,15967169986
1680916210359,sensor,all,0,9,1989634933,1488022,782171182,711748518,15967183221,15967183221
1680916210359,sensor,all,0,0,14313858,106142,24692836,43444596,15967193633,15967193633
1680916210359,sensor,all,0,1,200178529,29330,1427425744,1354749318,15967205787,15967205787
1680916210359,sensor,all,0,2,355573048,317687,147606457,142786176,15967212962,15967212962
1680916211360,sensor,all,0,3,2274945046,1695566,891983335,898273662,16967140969,16967140969
1680916211360,sensor,all,0,11,1017736543,814239,408238906,400484916,16967126260,16967126260
1680916211360,sensor,all,0,10,179367379,219690,83030351,103980240,16967115480,16967115480
1680916211360,sensor,all,0,4,445042266,423677,183742023,207045228,16967121364,16967121364
1680916211360,sensor,all,0,5,1096485457,875468,433244748,430206582,16967124713,16967124713
1680916211360,sensor,all,0,6,158708882,278458,76836505,90508470,16967122821,16967122821
1680916211360,sensor,all,0,7,638707773,524716,255824806,278361954,16967131393,16967131393
1680916211360,sensor,all,0,8,143225425,185887,65497752,74144460,16967135162,16967135162
1680916211360,sensor,all,0,9,1021979901,795172,405204285,409891638,16967136100,16967136100
1680916211360,sensor,all,0,0,13015965,29146,18560175,37073790,16967134658,16967134658
1680916211360,sensor,all,0,1,196563625,26493,1358451398,1377211056,16967133954,16967133954
1680916211360,sensor,all,0,2,7117809,67146,15432888,32942520,16967129922,16967129922
1680916212360,sensor,all,0,3,1824893992,1430683,714551096,750729096,17967221173,17967221173
1680916212360,sensor,all,0,11,2133993398,1689328,846372835,810085926,17967208243,17967208243
1680916212360,sensor,all,0,10,172312757,250165,82592829,88557690,17967188169,17967188169
1680916212360,sensor,all,0,4,446988958,426554,183374743,202457346,17967196142,17967196142
1680916212360,sensor,all,0,5,610206672,563327,245424494,256675770,17967187298,17967187298
1680916212360,sensor,all,0,6,21877940,114567,20607761,45347172,17967181622,17967181622
1680916212360,sensor,all,0,7,22479015,79820,22808518,50588694,17967190179,17967190179
1680916212360,sensor,all,0,8,608396224,537620,248323195,257119746,17967189609,17967189609
1680916212360,sensor,all,0,9,1146324642,895857,454794441,409269276,17967187295,17967187295
1680916212360,sensor,all,0,0,68862560,116634,44529803,60014448,17967180517,17967180517
1680916212360,sensor,all,0,1,200882570,58329,1386814829,1378679562,17967177561,17967177561
1680916212360,sensor,all,0,2,6932735,56786,13609573,29557476,17967170550,17967170550
1680916213360,sensor,all,0,3,2088228533,1875687,823484217,854568156,18967324219,18967324219
1680916213360,sensor,all,0,11,1305407135,1146404,521547708,549209622,18967314183,18967314183
1680916213360,sensor,all,0,10,213547144,408876,102252284,125835606,18967300416,18967300416
