minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,cp
1131,4.091950216666667,5.838451066666665,2.654224766666667,1.4555500333333333,0.0
1133,2.4704899,2.3368593166666667,1.1075253500000004,0.8995254666666668,0.0
1134,2.112830716666666,2.37170945,1.2990866166666668,1.371436733333333,0.0
1135,2.0743666499999995,2.604987283333334,1.2911792833333335,1.6101327,0.0
1136,2.2622076000000004,2.2214622,0.8629975666666667,1.3003578666666666,0.0
1137,2.4482776166666667,2.7449113833333336,0.9986646666666665,1.4374991333333333,0.0
1138,2.2264743166666667,2.5149947166666666,1.2160426833333333,1.6833315833333335,0.0
1139,2.0796566499999996,2.3551769333333334,1.490021733333333,2.209535216666667,0.0
1140,2.1228208833333335,2.957811066666667,1.3166497333333331,2.016636283333334,0.0
1141,2.3221419666666665,2.6171312333333336,1.0269903500000002,2.3061878833333336,0.0
1142,2.1980948999999996,3.639309333333333,1.3617250666666663,1.856934566666667,0.0
1143,2.1677862166666673,2.595815333333333,1.1826739500000008,2.0823763666666664,0.0
