minutes,pyaes-0-0.0.1,model_training-0-0.0.1,image_processing-0-0.0.1
1306,14.039095405279195,14.882941811259357,10.801378474389741
1307,12.81837095013384,24.43174717086539,4.584958548811538
1308,8.396880842072102,20.761406232011957,8.354199623225034
1309,9.273308244507884,21.097661186298293,7.847905979888279
1310,6.899835191097335,19.90380870478618,9.422226882670664
1311,9.37745709610392,19.040485885586666,6.952797604512942
1312,11.13853483320919,18.075047648960656,8.646169629269675
1313,13.15378290438442,17.6135310039826,12.741235856127798
1314,13.107435490285798,24.683196531767013,9.98927658141909
1315,10.916335395249474,20.99690321387412,10.49963707820953
1316,13.376045452732297,9.456746735226556,9.56749008542997
