minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cp
1182,4.353253683333336,8.730867316666668,5.2836183,2.164423566666667,0.0
1184,2.716666666666667,4.95,3.3833333333333333,2.2,0.0
1185,2.8666666666666667,4.5,3.95,2.216666666666667,0.0
1186,3.4166666666666665,6.333333333333333,3.7,2.55,0.0
1187,2.216666666666667,6.016666666666667,3.8833333333333333,1.9166666666666667,0.0
1188,2.683333333333333,5.416666666666667,4.2,2.283333333333333,0.0
1189,3.183333333333333,3.6333333333333333,3.4,2.0833333333333335,0.0
1190,3.3666666666666667,7.216666666666667,3.0,1.8833333333333333,0.0
1191,3.533333333333333,5.75,4.45,2.0166666666666666,0.0
1192,3.6166666666666667,4.333333333333333,4.15,2.216666666666667,0.0
1193,3.05,4.466666666666667,3.55,2.3,0.0
1194,3.683333333333333,5.2,3.466666666666667,2.0,0.0
1195,3.1333333333333333,4.683333333333334,3.05,1.5166666666666666,0.0
