,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cp
0,261.1952210000002,523.8520390000001,317.017098,129.86541400000002,0.0
1,163.0,297.0,203.0,132.0,0.0
2,172.0,270.0,237.0,133.0,0.0
3,205.0,380.0,222.0,153.0,0.0
4,133.0,361.0,233.0,115.0,0.0
5,161.0,325.0,252.0,137.0,0.0
6,191.0,218.0,204.0,125.0,0.0
7,202.0,433.0,180.0,113.0,0.0
8,212.0,345.0,267.0,121.0,0.0
9,217.0,260.0,249.0,133.0,0.0
10,183.0,268.0,213.0,138.0,0.0
11,221.0,312.0,208.0,120.0,0.0
12,188.0,281.0,183.0,91.0,0.0
