minutes,image_processing-0-0.0.1,model_training-0-0.0.1,dd-0-0.0.1
1090,11.375221026865354,37.069622951861675,0.49350951464288084
1091,11.487023548887537,35.6324633880005,0.490355629033944
1092,11.34995110875527,34.54963774345266,0.49385151996777543
1093,11.827323844354508,35.97041274682522,0.45658836090274774
1094,11.687958887914748,34.65635052695808,0.44113773258310707
1095,11.190725911108476,35.22682182123809,0.4266999324360011
1096,11.118700554351877,36.90289314238102,0.40844604378544896
1097,10.940700665373683,36.96782981758693,0.4065608004221646
1098,11.62354678953759,34.7542846874443,0.3918536084861383
1099,11.59455255714403,35.83852491164541,0.40485044843291196
1100,11.196483789995517,36.306978163839005,0.4416652605699542
1101,11.394774791407837,33.59438108622394,0.41731045178714227
1102,11.341713832979165,35.46991470880102,0.406518688257002
1103,11.273130125584714,34.976383340842936,0.3816596246003078
1104,11.014618892496753,38.07904912149572,0.38100082755956194
1105,10.508444778911228,36.92971937598195,0.37753049483293677
1106,11.430102625337293,35.98568198313092,0.3866740861951761
1107,11.452859836739485,37.56092284512872,0.4458807344526601
