minutes,image_processing-0-0.0.1,model_training-0-0.0.1,dd-0-0.0.1
1090,1.3166666666666667,3.35,0.6166666666666667
1091,1.4166666666666667,3.2666666666666666,0.7666666666666667
1092,1.5166666666666666,3.1,0.7833333333333333
1093,1.2166666666666666,3.4166666666666665,0.6333333333333333
1094,0.85,3.75,0.4666666666666667
1095,0.9833333333333333,3.6166666666666667,0.6833333333333333
1096,1.2333333333333334,3.3666666666666667,0.5333333333333333
1097,1.3166666666666667,3.3666666666666667,0.5666666666666667
1098,1.2833333333333334,3.4,0.48333333333333334
1099,1.2166666666666666,3.3833333333333333,0.5333333333333333
1100,0.9333333333333333,3.6166666666666667,0.6
1101,1.65,3.033333333333333,0.7833333333333333
1102,1.6833333333333333,2.9833333333333334,0.95
1103,1.75,2.95,1.0
1104,0.8,3.7,0.8166666666666667
1105,0.8666666666666667,3.6166666666666667,0.9666666666666667
1106,1.3666666666666667,3.2666666666666666,1.1666666666666667
1107,1.35,2.7,0.48333333333333334
