,image_processing-0-0.0.1,model_training-0-0.0.1,dd-0-0.0.1
0,56.57759299999999,180.11122299999994,2.958489
1,59.42059800000001,176.437953,3.733653
2,66.05337600000001,169.501028,3.4334900000000004
3,51.500434,185.176578,2.978603
4,36.260653000000005,201.28970700000002,2.145575
5,41.623138999999995,194.95109100000002,3.0820430000000005
6,54.430015000000004,182.987969,2.282609
7,55.071481000000006,181.856826,2.7258599999999995
8,57.36984799999999,179.976751,2.3371660000000003
9,54.638581,182.920478,2.138934
10,40.30846199999999,194.818242,2.768598
11,72.062928,164.19399700000002,3.3375850000000002
12,74.102329,161.34662400000002,4.108596
13,77.71907199999998,157.49981499999998,4.324212
14,34.022259,202.168673,3.4373980000000004
15,38.51577,197.07852400000004,4.003741
16,57.261553,177.04641099999998,5.203715
17,58.40130900000001,147.052742,2.074903
