,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,cp
0,90.17079100000004,86.743086,77.13229099999998,79.590678,0.0
1,67.0,74.0,85.0,80.0,0.0
2,68.0,90.0,102.0,112.0,0.0
3,75.0,63.0,97.0,78.0,0.0
4,78.0,62.0,113.0,129.0,0.0
5,112.0,75.0,134.0,141.0,0.0
6,76.0,75.0,111.0,105.0,0.0
7,58.0,73.0,78.0,128.0,0.0
8,79.0,63.0,91.0,101.0,0.0
9,90.0,66.0,103.0,201.0,0.0
10,75.0,78.0,80.0,162.0,0.0
11,84.0,90.0,160.0,174.0,0.0
12,101.0,113.0,107.0,194.0,0.0
13,52.0,50.0,107.0,132.0,0.0
14,0.0,0.0,21.0,7.0,0.0
