,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cp
0,263.16962900000004,745.3803730000001,321.3288490000003,131.072477,0.0
1,165.0,424.0,207.0,140.0,0.0
2,170.0,373.0,243.0,135.0,0.0
3,205.0,423.0,231.0,154.0,0.0
4,134.0,452.0,237.0,122.0,0.0
5,165.0,563.0,251.0,146.0,0.0
6,188.0,370.0,205.0,129.0,0.0
7,204.0,587.0,184.0,121.0,0.0
8,214.0,466.0,274.0,117.0,0.0
9,219.0,422.0,257.0,142.0,0.0
10,185.0,463.0,216.0,138.0,0.0
11,229.0,505.0,211.0,113.0,0.0
12,195.0,419.0,192.0,95.0,0.0
