minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cp
1215,2.1934103155511444,21.361586665661484,15.135166411444079,1.1718475395196586,0.0
1217,2.3118613315027003,21.42202226718105,16.441326093268877,1.3808926434382947,0.0
1218,2.4749745910088663,21.287279297983414,16.644453190166587,1.3843998189462876,0.0
1219,2.0418701823184326,20.792834690227178,13.99873947388094,1.212787052774729,0.0
1220,2.030159271587054,20.1329262726504,14.225481979631526,1.2004113284526712,0.0
1221,1.839233192958741,17.42181701854865,12.783777217905635,1.08270604881646,0.0
1222,2.489461155642095,23.758128749836704,17.043748281445133,1.4252884675951647,0.0
1223,2.1474396086054215,19.95423338291864,14.924568207596739,1.1696960834831411,0.0
1224,2.027270431261307,18.55318804933696,13.691588900394173,1.1183521024765386,0.0
1225,2.0951886583818298,19.267146916828974,14.45162973352154,1.2078193521599083,0.0
1226,2.092204236375859,20.82589648236117,14.755048531269221,1.2317084555039255,0.0
1227,2.072864907951093,21.30840920512753,14.4855224391264,1.1464410711496267,0.0
1228,,,,,
