timestamp,VDD_GPU_SOC_current,VDD_CPU_CV_current,VIN_SYS_5V0_current,VDDQ_VDD2_1V8AO_current,tegra,load_avg_1minute,cpu_pct,cpu_pct_process
2023-09-20 00:53:06,4.755,0.792,4.73,0.704,10.981000000000002,4.44,,0
2023-09-20 00:53:07,4.755,0.792,4.73,0.704,10.981000000000002,4.44,,0
2023-09-20 00:53:08,4.755,0.792,4.73,0.704,10.981000000000002,4.44,,0
2023-09-20 00:53:09,4.755,0.792,4.83,0.704,11.020478878799842,4.44,1.0,0
2023-09-20 00:53:10,4.755,0.792,4.83,0.704,11.042303234647147,4.44,1.0,0
2023-09-20 00:53:11,4.755,0.792,4.73,0.704,11.021460089012198,4.3725000000000005,,0
2023-09-20 00:53:12,4.755,0.792,4.73,0.704,11.008232732633086,4.305,,0
2023-09-20 00:53:13,4.755,0.792,4.73,0.704,10.999563127351175,4.2375,,0
2023-09-20 00:53:15,4.755,0.792,4.83,0.704,11.025021527416925,4.17,0.0,0
2023-09-20 00:53:16,4.755,0.792,4.73,0.704,11.011431175384407,4.105,,0
2023-09-20 00:53:17,4.755,0.792,4.73,0.704,11.002117664222164,4.04,,0
2023-09-20 00:53:18,4.755,0.792,4.73,0.704,10.995693445499127,3.975,,0
2023-09-20 00:53:19,4.755,0.792,4.83,0.704,11.021535795824349,3.91,0.0,0
2023-09-20 00:53:20,4.755,0.792,5.132,0.805,11.161222444155717,3.91,0.0,0
2023-09-20 00:53:21,4.755,0.792,5.132,0.704,11.22807308845479,3.8525,,0
2023-09-20 00:53:22,4.755,0.792,5.132,0.704,11.274706137205493,3.795,,0
2023-09-20 00:53:23,4.755,0.792,5.032,0.704,11.277200097757097,3.7375000000000003,,0
2023-09-20 00:53:24,4.755,0.792,5.032,0.704,11.278942906443334,3.68,0.0,0
2023-09-20 00:53:25,4.755,0.792,5.032,0.704,11.28016142348514,3.68,0.0,0
2023-09-20 00:53:26,4.755,0.792,5.032,0.704,11.281013676471572,3.6275000000000004,,0
2023-09-20 00:53:27,4.755,0.792,4.931,0.704,11.251292973154184,3.575,,0
2023-09-20 00:53:28,4.755,0.792,4.73,0.704,11.170173364892745,3.5225,,0
2023-09-20 00:53:29,4.755,0.792,4.83,0.704,11.143414031730638,3.47,0.0,0
2023-09-20 00:53:30,4.755,0.792,4.73,0.704,11.094680485778703,3.47,0.0,0
2023-09-20 00:53:31,4.755,0.792,4.73,0.704,11.060571765831694,3.42,,0
2023-09-20 00:53:32,4.755,0.792,4.73,0.704,11.036697994936636,3.37,,0
2023-09-20 00:53:33,4.755,0.792,4.73,0.704,11.01998749836944,3.3200000000000003,,0
2023-09-20 00:53:35,4.755,0.792,4.73,0.704,11.00829071082213,3.27,0.0,0
2023-09-20 00:53:36,4.755,0.792,4.73,0.704,11.000103233946453,3.225,,0
2023-09-20 00:53:37,4.755,0.792,4.73,0.704,10.994372134587318,3.1799999999999997,,0
2023-09-20 00:53:38,4.755,0.792,4.73,0.704,10.990360430916313,3.135,,0
