seconds,VDD_GPU_SOC_current,VDD_CPU_CV_current,VIN_SYS_5V0_current,VDDQ_VDD2_1V8AO_current,tegra,load_avg_1minute,cpu_pct,cpu_pct_process
3186,4.755,0.792,4.73,0.704,10.981000000000002,4.44,,0.0
3187,4.755,0.792,4.73,0.704,10.981000000000002,4.44,,0.0
3188,4.755,0.792,4.73,0.704,10.981000000000002,4.44,,0.0
3189,4.755,0.792,4.83,0.704,11.020478878799842,4.44,1.0,0.0
3190,4.755,0.792,4.83,0.704,11.042303234647147,4.44,1.0,0.0
3191,4.755,0.792,4.73,0.704,11.021460089012198,4.3725000000000005,,0.0
3192,4.755,0.792,4.73,0.704,11.008232732633086,4.305,,0.0
3193,4.755,0.792,4.73,0.704,10.999563127351175,4.2375,,0.0
3195,4.755,0.792,4.83,0.704,11.025021527416925,4.17,0.0,0.0
3196,4.755,0.792,4.73,0.704,11.011431175384407,4.105,,0.0
3197,4.755,0.792,4.73,0.704,11.002117664222164,4.04,,0.0
3198,4.755,0.792,4.73,0.704,10.995693445499127,3.975,,0.0
3199,4.755,0.792,4.83,0.704,11.021535795824349,3.91,0.0,0.0
3200,4.755,0.792,5.132,0.805,11.161222444155717,3.91,0.0,0.0
3201,4.755,0.792,5.132,0.704,11.22807308845479,3.8525,,0.0
3202,4.755,0.792,5.132,0.704,11.274706137205493,3.795,,0.0
3203,4.755,0.792,5.032,0.704,11.277200097757097,3.7375000000000003,,0.0
3204,4.755,0.792,5.032,0.704,11.278942906443334,3.68,0.0,0.0
3205,4.755,0.792,5.032,0.704,11.28016142348514,3.68,0.0,0.0
3206,4.755,0.792,5.032,0.704,11.281013676471572,3.6275000000000004,,0.0
3207,4.755,0.792,4.931,0.704,11.251292973154184,3.575,,0.0
3208,4.755,0.792,4.73,0.704,11.170173364892745,3.5225,,0.0
3209,4.755,0.792,4.83,0.704,11.143414031730638,3.47,0.0,0.0
3210,4.755,0.792,4.73,0.704,11.094680485778703,3.47,0.0,0.0
3211,4.755,0.792,4.73,0.704,11.060571765831694,3.42,,0.0
3212,4.755,0.792,4.73,0.704,11.036697994936636,3.37,,0.0
3213,4.755,0.792,4.73,0.704,11.01998749836944,3.3200000000000003,,0.0
3215,4.755,0.792,4.73,0.704,11.00829071082213,3.27,0.0,0.0
3216,4.755,0.792,4.73,0.704,11.000103233946453,3.225,,0.0
3217,4.755,0.792,4.73,0.704,10.994372134587318,3.1799999999999997,,0.0
3218,4.755,0.792,4.73,0.704,10.990360430916313,3.135,,0.0
3219,4.755,0.792,4.83,0.704,11.017552601959279,3.09,0.0,0.0
3220,4.755,0.792,4.73,0.704,11.006586736594459,3.09,0.0,0.0
3221,4.755,0.792,4.73,0.704,10.998910674075606,3.0475,,0.0
3222,4.755,0.792,4.73,0.704,10.993537451498154,3.005,,0.0
3223,4.755,0.792,4.73,0.704,10.989776206074898,2.9625,,0.0
3224,4.755,0.792,4.83,0.704,11.017143395051722,2.92,0.0,0.0
3225,4.755,0.792,4.73,0.704,11.006300362447332,2.92,0.0,0.0
3226,4.755,0.792,4.73,0.704,10.99871024680959,2.8825,,0.0
3227,4.755,0.792,4.73,0.704,10.99339716938398,2.8449999999999998,,0.0
3228,4.755,0.792,4.73,0.704,10.989678016911249,2.8075,,0.0
3229,4.755,0.792,4.83,0.704,11.017074620384886,2.77,0.0,0.0
3230,4.755,0.792,4.73,0.704,11.00625223190601,2.77,0.0,0.0
3231,4.755,0.792,4.73,0.704,10.998676561176136,2.7325,,0.0
3232,4.755,0.792,4.73,0.704,10.99337359225584,2.6950000000000003,,0.0
3233,4.755,0.792,4.73,0.704,10.989661514301035,2.6575,,0.0
3235,4.755,0.792,4.73,0.704,10.98706305987448,2.62,0.0,0.0
3236,4.755,0.792,4.73,0.704,10.985244141845374,2.5875000000000004,,0.0
3237,4.755,0.792,4.73,0.704,10.98397089925905,2.555,,0.0
3238,4.755,0.792,4.73,0.704,10.983079629465308,2.5225,,0.0
3239,4.755,0.792,4.73,0.704,10.982455740617862,2.49,0.0,0.0
3240,4.755,0.792,4.73,0.704,10.982019018428655,2.49,0.0,0.0
3241,4.755,0.792,4.83,0.704,11.011713313083236,2.46,,0.0
3242,4.755,0.792,4.73,0.704,11.002499319118478,2.43,,0.0
3243,4.755,0.792,4.73,0.704,10.996049523363439,2.4000000000000004,,0.0
3244,4.755,0.792,4.83,0.704,11.021534666408332,2.37,0.0,0.0
3245,4.755,0.792,4.73,0.704,11.009374266467821,2.37,0.0,0.0
3246,4.755,0.792,4.73,0.704,11.00086198651865,2.4225000000000003,,0.0
3247,5.152,1.584,5.132,0.905,11.532503390948891,2.475,,0.0
3248,5.152,2.773,5.342,1.008,12.355252374082198,2.5275,,0.0
3249,5.152,2.773,5.544,1.107,13.021476662094457,2.58,4.0,0.0
3250,5.152,2.773,5.644,1.207,13.547833663597148,2.58,4.0,0.0
3251,5.548,6.338,5.947,1.408,15.255783564815616,2.6100000000000003,,0.0
3252,5.548,5.15,5.947,1.408,16.09494849547329,2.64,,0.0
3253,5.548,6.734,6.048,1.509,17.218163946927206,2.67,,0.0
3254,5.548,5.94,5.947,1.408,17.705614762878177,2.7,24.0,0.0
3255,5.152,2.773,5.644,1.207,16.826730333977956,2.7,24.0,0.0
3256,5.548,4.357,5.846,1.308,16.89641123378661,2.705,,0.0
3257,5.152,3.565,5.644,1.207,16.497887863642458,2.71,,0.0
3258,5.548,7.524,5.947,1.408,17.676621504566636,2.7150000000000003,,0.0
3259,5.548,8.319,6.148,1.509,18.83083505320824,2.72,23.0,0.0
3260,5.548,8.715,5.947,1.408,19.666984537251647,2.72,23.0,0.0
3262,5.152,8.319,5.443,1.006,19.742889176076527,2.7533333333333334,,0.0
3263,5.152,7.527,5.644,1.207,19.67902242325335,2.7866666666666666,,0.0
3264,5.548,7.527,5.745,1.308,19.813715696277672,2.82,32.0,0.0
3265,5.152,6.338,5.644,1.207,19.371900987393623,2.82,32.0,0.0
3266,5.548,7.13,6.148,1.509,19.66083069117588,2.8649999999999998,,0.0
3267,5.548,6.338,5.644,1.207,19.383681483822887,2.91,,0.0
3268,5.548,7.13,5.846,1.408,19.548177038676116,2.955,,0.0
3269,5.548,7.13,6.148,1.509,19.784223927073377,3.0,29.0,0.0
3270,5.152,7.92,5.644,1.207,19.825856748951377,3.0,29.0,0.0
3271,5.548,7.923,5.846,1.308,20.06559972426601,3.04,,0.0
3272,5.548,7.923,5.947,1.408,20.293719806986235,3.08,,0.0
3273,5.152,7.13,5.544,1.107,19.885503864890328,3.12,,0.0
3274,5.548,7.527,5.947,1.408,20.048852705423243,3.16,32.0,0.0
3275,5.548,7.13,6.048,1.509,20.104696893796273,3.16,32.0,0.0
3276,5.548,6.734,5.846,1.308,19.90408782565739,3.1975000000000002,,0.0
