minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1
1271,4.167423041625338,5.795351757272276,4.334324347090132,4.085905282820841
1272,3.9471118034286663,4.915697620472679,4.938027480091135,3.906914833921595
1273,4.324881957190396,6.797318678357277,5.285111493197279,4.0375556756121975
1274,4.134821994237422,5.664790110288948,4.547767125526804,3.915906137842715
1275,4.4700553216371395,6.055740155013138,5.383753468882555,3.98645081223505
1276,4.036638996488139,6.230871120339807,4.895791834089908,4.054850685790273
1277,4.220672138955207,5.9425182321267505,4.486552684755994,4.039255566067205
1278,4.363790684905547,6.720791896627649,4.73621307284088,4.327585806031518
1279,4.221672656058871,7.454937620824918,5.483902945385853,4.256051978400794
1280,4.6564178851211375,6.913429471265508,6.290141979920746,4.431813445930732
1281,3.816998942506146,4.831780142523565,3.854399649580374,3.931160718675119
