minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1
1271,1.6166666666666667,4.95,1.8,1.3833333333333333
1272,1.2,3.6,3.533333333333333,1.1166666666666667
1273,1.7,6.366666666666666,3.4833333333333334,1.2166666666666666
1274,1.5833333333333333,4.566666666666666,2.183333333333333,0.9833333333333333
1275,2.1,5.116666666666666,3.783333333333333,1.1333333333333333
1276,1.2,5.516666666666667,2.8,1.1833333333333333
1277,1.5,4.45,1.8666666666666667,1.2
1278,1.6833333333333333,5.65,2.1166666666666667,1.7666666666666666
1279,1.25,6.183333333333334,3.15,1.3833333333333333
1280,1.7833333333333334,4.833333333333333,4.0,1.5833333333333333
1281,1.0833333333333333,4.2,1.0666666666666667,1.4
