minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1
1271,9.439604408057072,16.9625625424578,8.689515084091758,12.624179796882874
1272,7.98317600200236,12.900308364909414,13.807698511390488,10.370048025070476
1273,9.487614853581587,19.024875940411484,12.534408701146473,10.260937717803472
1274,9.436624195012753,16.835310011028728,10.383007690371384,10.094080799159508
1275,11.01261979471749,16.220059401124782,13.601114802810285,9.942055765608428
1276,7.854657853649585,18.17395820972732,11.53484016565421,11.327918646790724
1277,9.415080597089634,16.730448933828928,9.18456910075758,11.069381071206006
1278,9.518706587386104,18.00975230690534,9.450281640409303,13.790586839791775
1279,8.17192652826338,20.193953547862627,12.49923120975933,12.091829275968069
1280,10.116377489136905,15.991786196475285,14.521563157191945,12.954321274309223
1281,7.318305776531459,14.732705135435372,6.552773282157977,12.715074324079275
