,image_processing-0-0.0.1,video_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1
0,62.123212,266.794044,92.37663500000001,51.254245000000004
1,51.091885,195.36183200000002,186.87504699999997,39.861476999999994
2,69.874468,345.524711,189.19765399999994,42.705262000000005
3,62.396783000000006,249.77401,116.43182499999999,35.499525
4,87.31029699999993,277.20912200000004,203.96663299999997,39.60432199999999
5,47.72678900000001,301.570421,149.663577,43.99355799999999
6,60.260209,240.08027899999996,98.67711999999999,40.643299
7,68.331276,310.53556700000007,110.30673099999998,63.310380999999985
8,50.205664,333.94862699999993,165.644145,48.631730000000005
9,76.414899,263.5837209999999,217.81049499999997,57.35833700000001
10,39.296029,223.559789,53.816255,51.786412999999996
