minutes,cp,dd-0-0.0.1,image_processing-0-0.0.1,video_processing-0-0.0.1
1114,,5.444452633064109,12.405274299031149,38.74684854802506
1116,,5.821637289587277,18.905272093060184,68.86409734164353
1117,,5.755144031120452,20.155876287156445,78.21641824953579
1118,,4.643198582384184,15.10608631182259,65.7173889633375
1119,,5.986714876585624,22.679357013951876,57.23817790516929
1120,,4.847554221503098,18.32741072166399,50.46416055438708
1121,,6.344572842601488,19.199257038848135,85.8289552598149
1122,,5.6543959923014615,13.713237030161054,47.11635171289328
1123,,6.107700956633799,16.02106772419756,61.54693995201124
1124,,5.480117055781999,14.325882588619542,63.828675506717936
1125,,5.23542981104055,16.375533063701997,67.23541596581316
1126,,5.589534947680322,13.804786519330266,57.301495501995795
1127,,,,
