minutes,cp,dd-0-0.0.1,image_processing-0-0.0.1,video_processing-0-0.0.1
1114,,,,
1116,,6.42509887948203,15.096890228147267,61.446663921045776
1117,,6.579430905346736,19.25932086718011,43.2697271015042
1118,,7.36351795674288,14.574071977022518,39.346269416789994
1119,,9.339491246244897,21.511488851091098,35.98830915557868
1120,,5.5196623029632725,14.809148524579436,38.251390432715255
1121,,4.63046924321273,13.316253192362225,54.92944262436959
1122,,6.170335056624695,11.616367971437526,31.18761354388699
1123,,4.843578321047884,15.887871243753336,48.7294460347651
1124,,7.089507147494453,14.840735752708683,41.86065533039418
1125,,7.149449313514481,15.2009367035679,40.772052480615194
1126,,8.538537154494318,14.564732893304932,35.60530433245514
1127,,7.123611841384597,17.735993037428432,52.935008632537446
1128,,,,
