minutes,cp,dd-0-0.0.1,image_processing-0-0.0.1,video_processing-0-0.0.1
1114,,,,
1116,,5.282139301794365,6.900238157327156,7.571759723434767
1117,,5.409017233891066,8.802733458586752,5.3319082925667045
1118,,6.053623193720515,6.661276994383019,4.8484405666069765
1119,,7.678090982863073,9.832117339931985,4.434656210609972
1120,,4.537770660031543,6.768721914418318,4.713524200694834
1121,,3.806755979029502,6.086373882433919,6.768675705947814
1122,,5.072695365345781,5.309418318258727,3.8430909187369457
1123,,3.9819551248663005,7.261766743885356,6.004681674914319
1124,,5.82835611350956,6.78315928486533,5.1582755482792555
1125,,5.877635179389803,6.94779400816684,5.024132558460248
1126,,7.019618457174906,6.657008439677467,4.387460475177787
1127,,5.856393930102247,8.106475841413836,6.522911753818404
1128,,,,
