,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1
0,68.0,284.0,80.0,77.0
1,67.0,280.0,53.0,91.0
2,80.0,261.0,108.0,61.0
3,75.0,180.0,94.0,100.0
4,85.0,321.0,403.0,62.0
5,75.0,167.0,69.0,69.0
6,35.0,223.0,60.0,69.0
7,85.0,220.0,49.0,62.0
8,74.0,247.0,68.0,61.0
9,85.0,331.0,426.0,90.0
10,69.0,305.0,75.0,67.0
11,75.0,246.0,80.0,98.0
12,82.0,287.0,68.0,65.0
13,70.0,260.0,61.0,58.0
14,79.0,283.0,422.0,93.0
15,87.0,296.0,81.0,79.0
16,83.0,280.0,85.0,89.0
17,74.0,244.0,48.0,96.0
18,65.0,235.0,100.0,72.0
19,81.0,296.0,425.0,86.0
20,63.0,215.0,55.0,88.0
21,67.0,332.0,71.0,43.0
22,81.0,233.0,84.0,68.0
23,82.0,343.0,72.0,104.0
24,66.0,266.0,412.0,84.0
25,78.0,209.0,55.0,71.0
