minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1
1385,9.378536201068354,52.52521439566653,14.338385916369447,22.825656532024396
1386,9.05293459058658,48.25957383041339,15.968684493038836,23.707090106899006
1387,10.212859274770135,51.54429673820864,16.749108208316954,22.485095869741127
1388,9.628084271647444,66.20839722315532,13.554492726694326,22.104361477945243
1389,12.417767258043249,74.99824634181083,17.015192415002232,22.796304515598194
1390,12.203509310677592,62.018305463669826,14.90486319641651,18.649384864139073
1391,13.61551604610829,63.18083030408934,13.452821257003452,19.022596284711497
1392,15.159818342617452,64.33650072744025,14.272016985478208,20.48981460601455
1393,13.968194430323493,69.96426255418326,11.31447160740932,18.382934675636452
1394,16.23530521869943,72.51443836428255,16.0069669461203,21.267466062051845
1395,14.31428833118839,62.183537293171845,14.724914128216685,14.645223171730702
1396,14.637141747944884,51.713810553629315,18.065231658621656,15.2644607783847
1397,16.000332123992038,53.98449454865194,18.349190049779395,17.91285473217973
1398,17.98409896837569,49.292395358850065,16.678817841218894,15.432203286239895
1399,21.15236116630143,54.839648199035395,21.11017908626132,19.783471824608004
1400,18.546082344300164,59.77651119344906,18.26683569867833,15.41346945520605
1401,17.673163834978922,53.52160521678683,19.40272303654332,15.731203443401064
1402,15.696064606942336,55.46246188318633,19.11530612319924,16.285099529286935
1403,18.543801002720798,61.00589478464013,15.054042014146583,14.115786997452146
1404,19.598192002076566,66.05780587482286,18.33289262878736,18.02019553176798
1405,20.983129997199548,58.97591343135218,13.97194859472027,12.478254109489095
1406,20.14379525067331,61.38201530594621,15.098838440636525,11.864450321706613
1407,17.07535491833333,57.40869422322666,16.313781214255755,11.723182608844914
1408,14.588438945045082,62.310737950639215,14.845386988631653,10.832846663659126
1409,17.714977750057383,64.1847726345431,18.451887080090778,12.315861827759099
1410,14.168455424239557,65.99424706993719,14.70753980246828,12.508086029197417
