minutes,dd-0-0.0.1,cnn_image_classification-0-0.0.1,image_processing-0-0.0.1
1070,9.47659006390113,9.311684756669706,6.331746273125692
1071,9.79567081733019,13.026412410004816,5.682027372500895
1072,11.313443356553682,8.34130599341443,6.602750850668916
1073,12.460940691836367,12.784879883408472,5.0651732092000765
1074,11.238207640174842,13.978040693222242,7.55248823013924
1075,13.121525483722266,13.112889783077895,8.211114362584754
1076,7.955829113563614,19.03663261350906,6.173872667702483
1077,9.188872755221649,13.661624091796188,7.68086108174353
1078,7.380657476599518,15.877353587198654,4.381321626377313
1079,4.1906752397576374,9.130622522923215,0.8240169279371539
1080,8.322217463291102,12.23553306400542,1.3071540487978066
1081,5.855308380167315,11.712966170418774,3.4328097676787777
1082,6.030476930334151,8.783203705171259,1.0469346603673755
1083,13.875368839132605,-1.6719888055762677,-0.00202060844428793
