,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1
0,78.767543,12.092634,5.341420000000001
1,85.44670700000002,10.128231,4.066973999999999
2,75.41785899999998,10.432516,4.667536999999999
3,86.021124,7.19374,4.5808029999999995
4,94.419553,12.392754,4.55452
5,84.97961799999999,8.372933999999997,4.219487
6,92.392149,12.433448,4.699594000000001
7,84.759518,11.343748,5.855193
8,76.00295100000002,14.064682000000003,5.742888000000001
9,58.155271,12.225722,6.403749000000001
10,60.84171799999999,10.254054,4.786387000000001
