minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1
1073,10.745127835863599,3.3419348163268565,2.655093067414534
1074,11.40030883844179,3.257276946741531,2.725910014348399
1075,12.461832614056128,3.2358978712697968,2.784424054576974
1076,12.701131201924921,3.371856723492911,2.960679772988192
1077,12.39978787906716,3.3754707438776776,3.0117461666628436
1078,12.09680906892454,3.0691882934741264,3.236128345162738
1079,12.233251766082313,3.1821912026165293,3.070499479195993
1080,11.408973648127507,3.148513407487967,3.2747695227475644
1081,11.25850587001033,3.4248862275640213,3.173073074028476
1082,12.07317718397111,3.425177784619598,3.2744087297338624
1083,12.620834055904945,3.564642794901475,3.2010404393048746
