minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1
1073,1.3127923833333335,0.2015439,0.08902366666666668
1074,1.4241117833333337,0.16880385,0.0677829
1075,1.2569643166666664,0.17387526666666667,0.07779228333333332
1076,1.4336854,0.11989566666666666,0.07634671666666666
1077,1.5736592166666665,0.2065459,0.07590866666666667
1078,1.4163269666666665,0.13954889999999995,0.07032478333333333
1079,1.5398691500000001,0.20722413333333334,0.07832656666666668
1080,1.4126586333333333,0.18906246666666665,0.09758655
1081,1.2667158500000004,0.2344113666666667,0.09571480000000002
1082,0.9692545166666666,0.20376203333333331,0.10672915000000002
1083,1.0140286333333333,0.1709009,0.07977311666666669
