minute,tegra
1342,19.326648785995975
1343,19.411239343219393
1344,19.38781959710134
1345,19.46126313061308
1346,19.663813392198836
1347,19.384403245875514
1348,19.474975146249108
1349,19.489618152077387
1350,18.244043345980696
1351,18.073943580772237
1352,18.223462777009825
1353,18.029890416632735
1354,17.928456994523707
1355,17.85740148336437
1356,18.014725490718952
1357,18.112128147623615
1358,18.087502242297614
1359,17.939924332078224
1360,18.040661771867235
1361,18.201792861452265
1362,18.04148976328477
1363,18.003347378225975
1364,17.877532687050945
1365,17.97491545928041
1366,17.966854199245823
1367,18.078385112475416
1368,18.090183786705204
1369,18.106702883546753
1370,18.14607717138224
1371,18.14736098573541
1372,18.0114834985872
1373,18.222067045087144
