minutes,pyaes-0-0.0.1,image_processing-0-0.0.1,cnn_image_classification-0-0.0.1
1053,7.659829658969106,14.729342400041055,11.97937538081665
1054,10.594919983513226,19.352896944505734,11.612524630964256
1055,16.05901636260631,11.429451448761405,14.937557546822605
1056,15.55827298737554,14.148552501059338,16.387693547498678
1057,17.028161610652315,13.684113787275113,25.38131245672636
1058,23.782765908526475,15.055687515991677,21.48204342867327
1059,17.162381837054916,12.847316563862622,18.986292533341274
1060,18.609458368385003,11.749592135913401,21.051873638372232
1061,20.47821802772153,10.295482317481195,20.572366762729057
1062,14.589172121102466,13.200618555975488,28.637851253023847
1063,15.487844629190157,9.11366054434124,25.1042617682999
1064,23.266153087218594,16.231067267454662,24.47943364459498
