minute,perf_rapl,ipmi,x_rest
1023,107.975,244.0,136.025
1024,102.82016666666667,249.31666666666666,146.4965
1025,103.02933333333334,251.9,148.87066666666666
1026,107.47599999999998,255.41666666666666,147.9406666666667
1027,101.4835593220339,247.94915254237287,146.46559322033897
1028,117.47716666666666,266.3833333333333,148.90616666666668
1029,114.99833333333332,262.23333333333335,147.235
1030,111.016,260.26666666666665,149.25066666666666
1031,127.6275,278.53333333333336,150.90583333333333
1032,113.22833333333332,262.56666666666666,149.3383333333333
1033,123.058,271.68333333333334,148.62533333333334
1034,122.0722641509434,271.0943396226415,149.02207547169812
