,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1,cp
0,255.27400000000003,1032.1188200000004,315.22100700000004,0.0
1,118.69688,503.2190950000002,148.38693500000002,0.0
2,115.80768599999996,466.44312899999994,170.58871199999996,0.0
3,138.40486200000004,510.51979199999994,161.458688,0.0
4,91.87703899999998,570.2546760000001,172.78941500000002,0.0
5,109.89486899999997,608.01751,181.175838,0.0
6,129.480009,418.1466429999999,151.77118100000004,0.0
7,142.80711599999998,635.1326849999999,131.47780600000002,0.0
8,142.104769,514.918432,197.82035899999997,0.0
9,149.05829300000002,491.44356400000004,179.227086,0.0
10,130.30486699999994,501.1187760000001,156.13639399999994,0.0
11,152.11054000000004,561.435901,151.55104999999995,0.0
12,135.543357,434.55802000000006,140.03618500000002,0.0
