minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1,cp
1081,5.7973535795606255,23.030387727887142,12.712014212248384,0.0
1083,6.333964256078716,22.249646403593854,13.60339921391005,0.0
1084,6.309760440111033,22.7010678264823,13.604769621889911,0.0
1085,5.710179274960284,21.313252454626404,12.567596866515885,0.0
1086,5.548376713259164,20.50108408984952,12.03198007950817,0.0
1087,5.587036219905862,19.309459318422103,11.570529238559802,0.0
1088,6.586540809441492,23.450336625510893,14.445516934960843,0.0
1089,5.9232751989355865,20.640788610065943,12.543152589449264,0.0
1090,6.04111545834271,20.28180369182196,12.703697700109016,0.0
1091,5.81580655666909,19.671268436429155,12.826672678543156,0.0
1092,6.16810777555928,22.743032223961613,13.418467946517406,0.0
1093,5.660430973190081,20.741687964668568,12.37380478623293,0.0
1094,,,,
