minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1,cp
1081,4.254566666666667,17.20198033333334,5.2536834500000005,0.0
1083,2.8833333333333333,9.383333333333333,3.3666666666666667,0.0
1084,2.8,8.716666666666667,3.95,0.0
1085,3.3833333333333333,9.5,3.716666666666667,0.0
1086,2.183333333333333,10.683333333333334,3.9833333333333334,0.0
1087,2.683333333333333,11.283333333333333,4.1,0.0
1088,3.1333333333333333,7.766666666666667,3.5,0.0
1089,3.3833333333333333,11.966666666666667,3.033333333333333,0.0
1090,3.5166666666666666,9.6,4.483333333333333,0.0
1091,3.5833333333333335,9.2,4.2,0.0
1092,3.1166666666666667,9.35,3.65,0.0
1093,3.7333333333333334,10.483333333333333,3.4166666666666665,0.0
1094,3.316666666666667,8.083333333333334,3.283333333333333,0.0
