minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1,cp
1081,15.022488263715601,34.268926798176885,25.067585594928953,0.0
1083,14.943582196515644,30.14320252912202,24.42376451252352,0.0
1084,15.607948015659996,32.24529799772457,25.610035657183783,0.0
1085,14.885328337666856,31.904032128095334,24.931417340474486,0.0
1086,14.24987460641879,30.234939155700047,23.516260302017105,0.0
1087,14.978057973772618,29.725646120829204,23.60550504238774,0.0
1088,15.24367913227051,31.165109884562707,25.4420177630991,0.0
1089,15.382841662949076,30.78138201602227,24.789479999999774,0.0
1090,15.402442398672017,29.69382889353959,24.648395845346663,0.0
1091,15.239051937319267,29.59835200967372,25.576909146353813,0.0
1092,15.440426559869847,32.69210437202711,25.562088006450423,0.0
1093,15.261323565216744,32.11248893024236,25.388206014410574,0.0
1094,,,,
