minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1,cp
1081,4.254566666666667,17.20198033333334,5.2536834500000005,0.0
1083,1.9782813333333331,8.38698491666667,2.4731155833333336,0.0
1084,1.9301280999999995,7.774052149999999,2.8431451999999995,0.0
1085,2.3067477000000007,8.508663199999999,2.690978133333333,0.0
1086,1.531283983333333,9.504244600000002,2.8798235833333337,0.0
1087,1.8315811499999994,10.133625166666667,3.0195973,0.0
1088,2.15800015,6.969110716666665,2.529519683333334,0.0
1089,2.3801186,10.585544749999999,2.191296766666667,0.0
1090,2.368412816666667,8.581973866666667,3.297005983333333,0.0
1091,2.484304883333334,8.190726066666667,2.9871181000000004,0.0
1092,2.1717477833333323,8.351979600000002,2.6022732333333325,0.0
1093,2.5351756666666674,9.357265016666666,2.5258508333333323,0.0
1094,2.2590559499999996,7.242633666666667,2.333936416666667,0.0
