minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1,cp
1081,20.81984192502813,57.29931478085254,37.779599951285064,0.0
1083,21.442732826801613,52.182896225683564,38.11073420103732,0.0
1084,21.99926503671213,54.833015103198484,39.25381208180077,0.0
1085,20.585912223692645,53.231737533768005,37.494534017833004,0.0
1086,19.813464890522575,50.71913709752083,35.55714965338187,0.0
1087,20.50651932428793,49.099957690584546,35.144634813990585,0.0
1088,22.020939547398463,54.31603741086721,39.96749151715079,0.0
1089,21.017332110983123,50.7390699239266,36.83135765179522,0.0
1090,21.348144359395206,49.65352775814408,37.150827482037705,0.0
1091,21.025300852871446,49.268027002316785,38.37440231562979,0.0
1092,21.598865479989975,55.17316432153054,38.884566820073275,0.0
1093,20.849126256650663,52.92769695105766,37.71698480326046,0.0
1094,,,,
